id,price,qty
kikb,36.05,90
hlfe,96.57,84
mcej,91.34,63
iemn,57.12,93
femn,63.64,54
engn,94.56,38
edhp,63.31,97
ggna,72.39,88
mjlg,12.04,58
fpjb,34.3,68
gfpl,25.34,45
jogj,78.67,2
gpna,23.08,39
njoh,91.46,64
aoap,48.38,49
bhan,63.2,82
enmc,70,40
niom,58.92,88
nblh,42.9,77
jdok,9.42,30
plbp,42.38,17
jfhh,93.54,23
glpb,82.96,12
jncm,67.93,66
hgbp,69.86,36
geid,80.74,37
bhob,62.4,44
jlef,98.97,28
bnnk,15.97,20
konn,82.98,30
doni,5.1,34
kjig,43.55,77
aipg,28.8,61
dnkc,47.55,70
jfcc,7.75,36
nahm,85.22,12
jkoc,92.04,97
hfob,58.96,92
niic,58.19,99
ckcn,69.81,45
aldh,78.18,83
ihei,82.41,94
fjcb,84.11,8
cphc,2.19,97
lgnn,47.66,52
jmig,59.36,66
clfj,68.35,24
kcoo,61.77,60
aljc,31.69,69
oijd,73.79,8
ikgg,9.46,62
enif,41.66,95
iken,98.48,59
mmed,11.67,82
amdp,91.8,47
imfo,47.96,26
lggk,68.13,93
gdbc,76.17,38
apkk,36.75,93
kcgc,11.57,64
pmdg,39.93,32
ijkf,81.96,91
hakd,73.55,14
aonb,95.31,93
pgif,76.56,12
ebbh,47.93,78
kgma,6.4,41
amln,61.95,53
kkim,15.1,66
ngam,1.7,59
andd,68.02,30
ocma,80.28,85
akap,59.03,89
napc,30.81,23
nihh,0.06,60
dbek,44.81,6
nipp,98.78,52
ijhl,53.67,39
jnpa,12.65,84
hbab,22.14,68
fbdk,82.48,70
gdam,34.33,42
gjcm,98.78,73
heci,54.84,74
poji,36.61,18
ghgi,82.2,37
bhgb,84.42,77
ojpg,56.57,28
kjgd,74.1,26
jipb,21.56,84
beoo,98.39,50
lbli,6.1,37
dlnb,6.41,30
jklb,72.37,75
ncif,68.93,61
oicb,70.37,56
ocbk,89.17,23
pljj,33.48,46
monm,43.95,14
ckbc,38.1,13
iign,67.83,9
gmmm,59.78,74
gipj,47.51,55
jicl,70.15,92
mlcc,65.71,14
gjdo,83.3,90
hoff,89.36,17
aodc,56.76,89
hhkc,8.97,49
kjpc,75.1,80
kaib,45.67,11
ecgb,95.34,8
mhne,43.54,8
hccg,72.75,42
lhcg,95.47,94
jbed,52.22,19
bedk,81.14,12
elmp,37.52,11
mnkd,46.25,1
pjjg,41.53,0
cann,40.78,92
khem,56.86,69
mfdm,2.16,64
apio,65.53,96
cjin,27.59,74
fdlm,83.96,81
hffo,27.41,55
mpbb,51.98,22
lgeo,23.26,51
olai,77.14,4
kiod,77.32,46
ldjn,25.29,99
nalb,91.45,52
lnmp,13.22,10
pkgg,15.6,70
fkig,78.56,40
hpjn,61.98,18
bnjg,75.01,24
cmcn,8.08,51
fpob,80.33,58
jghl,65.11,17
hplj,0.06,91
hopl,40.73,44
oane,77.54,15
omgn,23.22,84
dpmp,69.85,82
jago,7.07,90
ebfi,30.38,66
kono,83.9,2
jndn,7.48,96
fapn,31.56,93
nehb,54.02,5
ajkb,37.47,58
gfep,87.41,31
lmao,34.44,7
mnil,41.26,53
phij,27.29,38
icml,84.01,23
fmhm,8.91,27
bfkb,67.7,32
dpko,87.67,82
pjdp,32.27,81
nfek,42.44,56
anpi,69.56,81
mkjd,22.85,0
ihkc,49.48,55
aeen,33.15,35
deie,29.38,51
gide,63.58,61
elnk,6.68,40
hhic,71.51,82
ceok,23.36,28
kmej,12.36,99
klnk,36.69,12
mglm,24.9,24
gjph,60.03,61
pika,22.97,30
mddd,69.22,89
inan,30.33,14
ehoh,48.29,32
pcme,77.69,43
pklf,58.86,49
bjpn,61.08,76
dcak,42.85,81
nkhj,3.05,75
cbhf,58.51,89
aamh,20.6,75
cfcm,46.15,6
hmlo,81.85,73
iflk,34.55,87
mldp,75.84,63
kpcj,59.61,62
nohb,12.67,42
lpel,11.09,56
pdfd,64.48,90
dfhm,55.44,63
ocmh,48.32,28
ogem,38.66,51
lhnh,35.95,64
ebnk,46.75,68
ibja,31.79,43
mbjk,74.72,61
cape,51.17,11
giap,17.04,84
hlcc,70.57,25
fbob,46.77,31
pjao,53.12,0
jcac,0.15,51
jggk,34.61,29
ndpj,20.17,25
naid,90.06,73
gmaj,23.74,0
ponh,50.01,6
omck,20.72,38
cahn,73.89,72
dbdc,19.17,13
lggf,76.38,77
adkp,21.11,64
kinm,69.47,9
gfmf,32.02,37
eibh,79.96,79
nhod,64.79,97
pmbc,43.6,63
mbde,57.99,74
mpkg,37.44,30
cndo,52.23,14
gfpo,81.36,37
hhlh,18.58,0
ckia,26.42,62
apbi,52.96,45
ghif,3.14,2
ifbo,8.6,99
eecc,40.6,62
oedn,87.63,12
dkhg,92.76,76
eiko,69.27,93
cpcp,36.39,28
fpgi,83.87,44
kgaa,3.32,87
pijm,60.86,62
geki,75.83,7
logk,23.62,90
kmag,4.99,0
jacd,13.33,89
hcgh,79.61,97
agak,84.02,11
gjed,54.51,99
amoa,70.32,3
gpdf,37.13,7
ccig,50.75,98
fjki,90.88,30
amph,46.54,2
hfck,31.04,15
odch,83.38,28
pjhf,98.82,17
kgid,30.5,11
ldmk,4.15,55
jkel,87.33,51
jiee,31.34,81
ligd,42.86,68
abop,78.93,96
ihlg,26.83,61
ghmp,48.77,70
debf,37.56,70
hnam,60.71,39
cmbk,67.51,76
iifa,67.69,26
ajia,20.02,91
injl,65.59,83
nnki,39.46,76
pmec,51.61,88
jdjb,72.21,4
caeb,71.71,56
efpb,11.65,32
gdnm,51.44,30
ckmk,91,97
fnpo,76.8,31
dicj,78.07,96
jajm,0.24,53
ipgb,76.06,47
dfej,44.12,65
lilc,19.57,34
kcjj,61.12,50
dmbp,19.26,96
pfpe,17.52,99
gcka,5.34,13
ngpf,85.73,72
kegb,7.18,81
hhkh,99.06,70
bcml,56.25,3
fhcj,41,99
pgaf,51.25,56
omil,92.06,12
maip,61.31,62
hmfi,69.04,18
henl,43.66,37
fjpk,69.49,17
eoei,3.59,79
cinh,16.94,75
jnab,27.61,91
dlnj,9.98,98
lkjn,25.3,17
lihe,91.34,3
flhk,35.16,21
dgcm,40.83,7
nnai,83.24,65
caec,14.41,85
eefo,58.87,71
dbgp,35.16,12
iipl,46.14,2
hgah,19.83,47
nmkf,9.14,4
ckcc,75.08,85
epgi,61.35,21
hngp,39.02,47
fafn,39.77,25
bnpk,53.75,18
iphi,6.88,54
bkng,36.72,11
adhb,32.49,4
ffao,61.2,75
hnlh,17.79,42
hgbj,64.61,90
ohme,48.56,70
lenm,3.81,22
obcm,54.4,17
pbdn,92.49,59
oaac,27.86,52
lbde,36.16,11
nkne,41.33,45
ojke,96.19,70
giip,3.19,24
pnjh,33.19,17
ecfc,13.65,75
mjpb,90.82,77
hihn,50.18,88
ccle,15.02,99
hmjl,45.51,87
ihop,15.18,29
mndl,2.32,54
lkhi,56.09,59
oihp,77.09,4
laok,45.6,86
hill,72.77,85
hmph,61.72,68
mcbb,70.94,14
eaim,34.88,59
dngj,1.86,13
mgnl,90.53,75
kgpe,77.87,62
fbhc,33.66,62
ppjo,48.56,18
llnh,5.09,21
flpp,35.94,55
jmfj,81.08,77
ngbn,22.99,23
gejo,13.49,63
icnh,83.43,34
gaae,77.71,41
fgfh,33.84,31
lpfm,29.22,36
edbm,54.02,42
hnik,96.1,79
icgf,26.83,41
ihif,27.51,51
dhej,7.07,66
gdpk,88.31,81
afic,51.26,43
lhnn,2.37,95
oibn,1.84,56
bped,24.97,28
mema,92.38,19
jgjm,52.73,17
ppoh,58.13,87
bipc,96.8,82
cgji,96.16,45
nijm,65.73,40
nflg,79.05,32
okhk,12.65,37
ange,29.11,25
clhb,68.15,38
igjm,45.19,54
hadm,30.72,77
hdjc,73.11,67
icap,81.32,40
joaj,57.53,90
oidi,64.69,47
gkeb,16.16,6
mccl,22.71,53
gelc,11.06,7
lfea,22.87,87
pinc,52.64,30
pmep,10.13,96
annh,16.52,27
liei,94.65,27
npjf,98.04,21
hcfp,38.26,13
hemj,88.01,64
gjkh,25.71,31
oioc,1.17,45
ohmo,21.7,39
memi,50.76,27
iiol,86.9,67
niih,63.22,95
kjpl,53.09,94
ccic,23.32,82
hnpm,31.9,65
nhge,82.2,15
obgk,59.72,44
fgcc,73.33,60
kigd,32.52,86
njfd,24.82,63
gmmn,22.25,26
faja,3.03,15
afop,16.12,0
hehk,45.19,7
hilp,3.82,23
afbh,94.61,28
fpga,73.09,69
aemh,10.78,12
kcce,51.2,48
cdbp,44.91,31
ognh,7.5,72
cpbk,53.17,89
hbnl,9.16,87
pfkb,96.83,4
facl,42.43,23
eoga,25.33,71
mojg,60.4,53
mbhb,98.3,41
aalc,91.16,33
cdnf,30.55,19
jphh,78,25
dkha,63.43,26
pmjc,63.38,61
fgkh,56.22,42
